ensembl_gene_id,shCon,shMLL1,shNRF2,shUTX
ENSG00000137571,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137573,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000137574,-2.680284941,-2.680284941,-2.680284941,-1.549634774
ENSG00000137601,4.570436792,4.70060058,5.270815867,4.612811311
ENSG00000137642,-2.680284941,-2.680284941,-1.171245043,-0.488494342
ENSG00000137648,3.985919663,4.359273946,4.481177867,3.424171541
ENSG00000137672,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137674,-0.47119825,-0.220325737,-0.765985083,-0.488494342
ENSG00000137691,0.195827878,1.178296395,1.298793343,-0.923625457
ENSG00000137692,2.390723495,3.148167534,3.863679211,4.268387332
ENSG00000137693,2.390723495,2.17333514,1.669162374,1.008537644
ENSG00000137709,4.762970505,5.56543501,6.510529846,5.826796302
ENSG00000137710,-0.785809199,-2.680284941,-1.171245043,-1.549634774
ENSG00000137713,5.762580661,5.837633793,5.822969584,5.535024345
ENSG00000137745,1.35544935,1.085847204,1.794239672,1.727255234
ENSG00000137757,-2.680284941,-2.680284941,-2.680284941,-2.680284941
ENSG00000137764,1.35544935,2.17333514,2.564758579,1.805935849
ENSG00000137776,8.697406752,8.573557071,9.131716778,9.101951128
ENSG00000137802,8.256782199,8.603563735,8.439145608,8.203010411
ENSG00000137806,3.717996454,4.491281911,4.99923543,5.100298159
ENSG00000137812,8.026714482,8.249913844,8.010895033,7.904255188
ENSG00000137814,3.638360653,4.278037159,4.100105643,4.043307836
ENSG00000137815,-1.749770001,-1.753980055,-2.680284941,-2.680284941
ENSG00000137817,0.195827878,0.188168011,0.219223228,-0.488494342
ENSG00000137818,2.390723495,3.125124705,2.599454345,2.516920666
ENSG00000137821,3.308649082,4.19195162,4.58004154,4.167700668
ENSG00000137822,2.390723495,2.564468793,3.434698521,2.991068032
ENSG00000137824,5.42089637,5.812611858,5.782021713,5.744289922
ENSG00000137834,6.503890952,6.705789932,6.461862513,6.357542305
ENSG00000137841,5.874556562,6.472389997,6.40415503,6.443113814
ENSG00000137842,-1.749770001,-1.194443566,-1.171245043,-2.680284941
ENSG00000137843,4.338146446,5.081908121,4.99923543,4.768267471
ENSG00000137845,-2.680284941,-2.680284941,-1.736849044,-2.680284941
ENSG00000137857,-0.21306264,-0.792289112,0.387495308,-2.680284941
ENSG00000137860,-2.680284941,-2.680284941,-2.680284941,-2.680284941
