ensembl_gene_id,SYMBOL,logFC,logCPM,PValue,FDR,ROS hallmark
ENSG00000198742,SMURF1,-0.4098201,5.904164078,3.91E-08,2.68E-07,
ENSG00000133398,MED10,-0.410273857,7.256597636,2.10E-14,2.58E-13,
ENSG00000140992,PDPK1,-0.410279752,4.790989714,0.00034101,0.001421437,
ENSG00000159352,PSMD4,-0.410863435,7.996495129,8.10E-14,9.46E-13,
ENSG00000099821,POLRMT,-0.410976113,8.36531337,1.27E-12,1.33E-11,
ENSG00000162576,MXRA8,-0.411268378,5.205950328,4.29E-06,2.35E-05,
ENSG00000110107,PRPF19,-0.41165005,6.609330964,9.56E-12,9.33E-11,
ENSG00000179044,EXOC3L1,-0.41190083,5.733878492,1.99E-08,1.41E-07,
ENSG00000100036,SLC35E4,-0.411924273,5.175774723,0.000216503,0.00093106,
ENSG00000148248,SURF4,-0.412527391,6.487705271,6.53E-06,3.51E-05,
ENSG00000105929,ATP6V0A4,-0.413024297,6.607630847,4.78E-13,5.21E-12,
ENSG00000167680,SEMA6B,-0.413031354,5.48871624,3.40E-10,2.88E-09,
ENSG00000216588,IGSF23,-0.413080821,3.673813756,0.004974641,0.016235067,
ENSG00000214063,TSPAN4,-0.414279645,5.297365981,4.14E-06,2.27E-05,
ENSG00000112394,SLC16A10,-0.41438313,1.171552972,0.361045231,0.527462155,
ENSG00000167395,ZNF646,-0.41438313,1.478390596,0.361045231,0.527462155,
ENSG00000136040,PLXNC1,-0.414647399,2.759089044,0.087860153,0.189085953,
ENSG00000197857,ZNF44,-0.414647399,2.26108684,0.087860153,0.189085953,
ENSG00000173253,DMRT2,-0.415259288,3.452559327,0.015780345,0.045268382,
ENSG00000105705,SUGP1,-0.415464124,5.867621147,1.87E-08,1.33E-07,
ENSG00000114978,MOB1A,-0.416180413,6.039003918,5.10E-09,3.81E-08,
ENSG00000187994,RINL,-0.416271045,8.591330622,1.75E-13,1.97E-12,
ENSG00000092203,TOX4,-0.416690552,4.615255176,0.001562946,0.005803532,
ENSG00000168297,PXK,-0.417102953,6.76832407,1.13E-15,1.54E-14,
ENSG00000120159,CAAP1,-0.417185319,6.151532471,3.26E-09,2.49E-08,
ENSG00000177728,TMEM94,-0.417196132,10.09361298,1.53E-13,1.74E-12,
ENSG00000177971,IMP3,-0.41762825,2.335629597,0.067624342,0.151769411,
ENSG00000099622,CIRBP,-0.417663524,8.607479075,3.67E-14,4.39E-13,
ENSG00000168067,MAP4K2,-0.417760748,7.852767066,2.21E-14,2.70E-13,
ENSG00000146676,PURB,-0.418157774,7.923783024,9.99E-15,1.27E-13,
ENSG00000150756,ATPSCKMT,-0.418345957,5.75633253,1.43E-08,1.03E-07,
ENSG00000197136,PCNX3,-0.419045602,11.27963123,8.07E-14,9.43E-13,
ENSG00000114383,TUSC2,-0.419792274,8.59972861,1.77E-13,2.00E-12,
ENSG00000079134,THOC1,-0.420207868,6.568822387,2.64E-12,2.70E-11,
ENSG00000183638,RP1L1,-0.420368369,6.098054643,5.84E-09,4.33E-08,
ENSG00000183760,ACP7,-0.420491853,7.991728529,6.93E-14,8.15E-13,
ENSG00000167657,DAPK3,-0.420606591,7.634003772,6.58E-15,8.48E-14,
ENSG00000169814,BTD,-0.420854711,6.746442382,2.39E-14,2.90E-13,
