Symbol,O_Con,O_NFIB,O_MLL1,A_Con,A_NFIB,A_MLL1,NFIB,H3K4me3,TF,Adipo,Osteo,Cluster
P3h2,-0.120512674,2.330813603,-0.523893975,2.584918994,-1.184475037,-1.107627197,2.022125526,1.044903339,0,0,0,cluster3
Pank3,-0.113336784,6.837324576,0.691170025,1.456902794,-2.515207809,-1.635113511,1.904340954,1.412455282,0,0,0,cluster3
Paqr4,-0.88008978,4.473340642,-0.810447901,1.729239233,-1.420888338,-2.057979605,0,1.066493934,0,0,0,cluster3
Pcx,1.504539385,6.924826011,-0.589088197,3.940940645,-2.81467863,-2.313538959,2.398996894,1.64948527,0,0,0,cluster3
Pdk4,5.576520781,6.632206489,-0.436036117,2.320896578,-3.410116439,-1.160174784,2.350037773,3.666191714,0,0,0,cluster3
Pik3ap1,2.251702543,-1.046441772,-4.386278612,1.148757156,2.099076386,-0.779153231,2.229523016,0.37248869,0,0,0,cluster1
Pik3c2b,1.391342817,3.286263643,-0.176775078,1.924439856,-1.158999081,-1.221412194,1.801695626,1.082740033,0,0,0,cluster3
Pitpnc1,2.085336999,2.745081549,-1.048418431,0.605671294,-1.040702323,0.308817695,2.071743827,1.294031576,0,0,0,cluster1
Pkdcc,2.717368898,4.316439576,-1.898902395,1.681335076,-0.194804465,-0.165611467,2.811652336,1.22381017,0,0,0,cluster1
Plekhg4,1.305284564,3.603033867,-0.519606694,2.822724662,-1.652893631,-1.793611279,1.097582112,0,0,0,0,cluster3
