SYMBOL,shControl,shNRF2,shMLL1,shUTX,Cluster,ROS hallmark,MLL1,H3K4,UTX,H3K27,CHE
GET3,1.527763961,-0.207987637,0.18026072,-0.298372618,cluster1,,0,1,1,0,0
OGFOD1,1.998761939,0.605163081,-0.255747908,0,cluster1,,0,0,0,0,0
ADAR,1.178320669,0.043335113,-0.249515528,0.015346582,cluster1,,0,1,0,0,0
RALGAPA2,1.213802072,0.328224204,0.000668844,-0.255889078,cluster1,,0,1,1,1,0
CLEC17A,1.005773184,0.057124745,-0.24235469,-0.062317425,cluster1,,0,0,0,0,0
MESD,4.561279621,1.145595798,-0.238766666,0,cluster1,,0,0,0,0,0
ZBTB47,1.63660414,0.099863627,-0.234486627,-0.132863472,cluster1,,0,1,0,0,0
PRR20G,4.561279621,0,-0.233799086,-0.375798112,cluster1,,0,0,0,0,0
NOS2,2.135525948,0.149828701,-0.232174015,-0.119165145,cluster1,,0,0,0,0,0
HMGCL,1.700180831,-0.06509939,0,-0.247053246,cluster1,,0,1,0,0,0
ADORA2A,1.184414411,0.025450369,-0.228968671,-0.029146766,cluster1,,0,1,1,0,0
GPX1,1.467356899,0.924315155,-0.227044836,0.552126518,cluster1,,0,0,0,0,0
TAF9,1.146688368,-0.027584329,0,-0.226506424,cluster1,,0,0,0,0,0
ACSM6,1.40405152,-0.003870789,-0.147467626,-0.221272175,cluster1,,0,0,0,0,0
ARHGAP19-SLIT1,5.93761048,-0.59577316,-0.220463088,-0.396463267,cluster1,,0,1,0,0,0
PPIH,1.15175012,-0.132602314,-0.219676049,0.200128058,cluster1,,0,0,0,0,0
SDHD,2.853295807,-0.59577316,-0.216415079,0.434480745,cluster1,,0,0,0,0,0
UMPS,1.592526024,0.018345481,-0.211399379,0,cluster1,,0,1,0,1,0
ADAMTS16,2.278775903,1.145595798,-0.201282825,0,cluster1,,0,1,0,0,0
SLCO1B1,4.960958855,0,-0.2011323,-0.119165145,cluster1,,0,0,0,0,0
CDT1,1.030909959,0.013797474,-0.201130881,1.141618084,cluster1,,0,0,0,0,0
CCDC102A,4.561279621,-1.291421205,-0.200580851,-0.299557827,cluster1,,0,1,0,1,0
GOLGA8J,1.861578552,0.355649287,-0.200405421,-4.709755439,cluster1,,0,0,0,0,0
ITPR1,1.807254689,0.492830678,-0.199894545,-0.119165145,cluster1,,0,1,0,0,0
TNFRSF21,1.072632875,0.528921622,-0.195708693,0,cluster1,,0,0,0,0,0
INTS7,1.22500051,0.252733682,-0.194634788,0,cluster1,,0,0,0,0,0
DHH,1.20052128,0.050221336,-0.187049738,0.794884425,cluster1,,0,0,0,0,0
RNF216,1.381411799,0.194408082,-0.18680487,-0.128690785,cluster1,,0,1,1,0,0
OXSR1,1.00742551,0.106882134,-0.186010123,-0.090858601,cluster1,ROS,0,0,0,0,1
TASP1,5.530397833,-1.353825126,-0.185146638,0.010276776,cluster1,,1,0,1,0,0
BOD1L2,2.68598855,0.744099769,-0.180268815,1.245346055,cluster1,,0,0,0,0,0
PSD4,1.565580566,0.30981875,-0.178144408,3.11187958,cluster1,,0,0,0,0,0
VPS18,1.639490952,-0.875219623,-0.177472041,0.126109656,cluster1,,0,1,0,0,0
SEC24C,1.374513223,0.179560468,-0.176645812,-0.214801557,cluster1,,0,0,0,0,0
EPHA3,1.064132522,-0.662247043,-0.176521162,3.11187958,cluster1,,0,0,0,0,0
SULT2A1,4.960958855,0.981222741,-0.175143291,0.033766963,cluster1,,0,0,1,0,0
TBC1D3E,1.495674811,0.492719931,-0.168106169,-0.191789545,cluster1,,0,0,0,0,0
POLA1,1.13843405,0.168730968,-0.166958717,0,cluster1,,0,0,0,0,0
TARS3,4.960958855,1.380807162,-0.166329825,0.37750836,cluster1,,1,0,0,0,0
RASSF10,1.009452047,-0.00899391,0.223008337,-0.167004014,cluster1,,1,0,0,0,0
TMED5,1.155612331,0.232348536,-0.161522299,0,cluster1,,0,0,0,0,0
ZDHHC17,1.43806852,0.232541816,-0.161354096,-5.110943897,cluster1,,0,1,0,0,0
MBP,1.023217246,0.411600123,-0.160446279,-0.300517729,cluster1,ROS,0,1,0,1,1
SLC35G1,1.287864957,-0.064855115,0.69149747,-0.146706121,cluster1,,0,0,0,0,0
